Set,Seq,Shape,ShapeName,startCos,startSin,DiagLen,DiagAngle,EndDist,EndCos,EndSin,PathLen,TotalRotSum,AbsRotSum,RotSquaredSum,AvgSpeed,TotalTime,AvgPressure,StrokeCount,Average Gsr Per Shape, Average Gsr Before Shapes,percent change from before shapes,Aspect (Absolute value of 45 degrees minus bounding box angle)
1,6,2,Pound,1,0,287.2559834016,0.7509290624,163.5267562205,0.672672794,0.7399400734,781.1305822369,NaN,NaN,NaN,781.1305822369,1,529.0810810811,4,0,40346.9234979558,-100,1.9749340108
-1,-1,-1,Pound,-1.79769313486232E+308,-1.79769313486232E+308,-1.79769313486232E+308,-1.79769313486232E+308,-1.79769313486232E+308,-1.79769313486232E+308,-1.79769313486232E+308,-1.79769313486232E+308,-1.79769313486232E+308,-1.79769313486232E+308,-1.79769313486232E+308,-1.79769313486232E+308,0,-1.79769313486232E+308,-1,0,40346.9234979558,-100,#NUM!
1,6,2,Pound,0,1,270.5623772811,0.7278700871,152.1183749585,0.6310874674,0.7757116787,759.3669957257,NaN,NaN,NaN,0,0,584.2857142857,4,0,40346.9234979558,-100,3.2961159754
1,6,3,Psi,0,1,276.1340254297,1.0179551052,227.6839915321,0.316227766,0.9486832981,640.7095452619,NaN,NaN,NaN,0,0,604.0576923077,2,0,40346.9234979558,-100,13.3245312618
1,6,4,Pound,0,-1,375.7126561616,0.6190118629,202.6277374892,0.9031340046,0.4293587891,1136.683045136,NaN,NaN,NaN,568.341522568,2,670.1768292683,4,0,40346.9234979558,-100,9.5332327873
1,6,5,Infinity,0,1,222.4432511901,0.5967305615,16.5529453572,0.4228854653,0.90618314,670.8641747447,2.3561944902,13.7891066695,6.1971570796,0,0,708.2285714286,1,0,40346.9234979558,-100,10.8098573196
1,6,6,Line,1,0,302.1291114739,0.3762040066,295.6298361127,0.9268347323,-0.3754695448,316.9030160805,NaN,NaN,NaN,316.9030160805,1,677.625,1,0,40346.9234979558,-100,23.4450981859
1,6,7,Infinity,0,1,207.8893936688,0.7853981634,24.0831891576,-0.0830454799,0.9965457582,645.1917409163,1.8157749899,15.0242698458,7.4359817248,0,0,708.0869565217,1,0,40346.9234979558,-100,1.46201273309998E-10
1,6,7,Infinity,-1,0,204.3844416779,0.4724001207,24.1867732449,-0.8682431421,-0.4961389384,557.0538855838,NaN,NaN,NaN,0,0,667.9102564103,1,0,40346.9234979558,-100,17.9334668424
1,6,8,Psi,0.4472135955,0.894427191,270.1407040784,1.0939044591,227.5170323295,0.2549259693,0.9669605732,588.2200775025,NaN,NaN,NaN,588.2200775025,1,677.0363636364,2,0,40346.9234979558,-100,17.676108697
1,7,1,Pound,0,1,257.3888109456,0.859641615,164.1249523991,0.5118051751,0.8591015439,655.6989019385,NaN,NaN,NaN,655.6989019385,1,591.4558823529,4,0,40346.9234979558,-100,4.2538364333
1,7,2,Psi,0,-1,266.1522120892,1.2098268914,229.9565176289,0.2261297072,0.9740972002,550.0584758298,NaN,NaN,NaN,550.0584758298,1,640.0769230769,2,0,40346.9234979558,-100,24.3179748187
1,7,3,Line,-0.894427191,0.4472135955,272.9468812791,0.4308724646,268.8958906343,0.9074143879,-0.4202369911,281.3230798598,-3.6052402626,4.2417737231,3.4529247037,281.3230798598,1,643.2173913043,1,0,40346.9234979558,-100,20.31282627
1,7,4,Line,0.6246950476,-0.7808688094,285.0771825313,0.5013064056,282.8427124746,0.8768124087,-0.4808326112,290.8592669832,NaN,NaN,NaN,0,0,680.4761904762,1,0,40346.9234979558,-100,16.2772587162
1,7,5,Psi,0.7071067812,0.7071067812,231.326608932,0.9947835564,196.0867155113,0.3008872878,0.9536597087,494.356617063,NaN,NaN,NaN,0,0,644.4489795918,2,0,40346.9234979558,-100,11.9968993107
1,7,5,Psi,0,-1,243.9877046082,1.1529881437,196.4510117052,0.2901486712,0.9569815822,508.9685889958,6.2831853072,11.0136082142,7.6143958014,0,0,658.5490196078,2,0,40346.9234979558,-100,21.0613544626
1,7,6,Infinity,-0.3328201177,0.9429903336,212.2003770025,0.6416160969,40.7062648741,-0.4667586196,-0.8843847528,563.1272685498,-0.4461055489,11.3908686487,3.4221381235,563.1272685498,1,702.4,1,0,40346.9234979558,-100,8.23810558
1,7,7,Infinity,-0.4788521307,0.8778955729,251.9563454252,0.5009305024,35.3411940941,-0.4244338762,0.905458936,648.4977501836,NaN,NaN,NaN,0,0,674.3484848485,1,0,40346.9234979558,-100,16.2987963831
1,7,8,Pound,1,0,297.9345565724,0.8257562851,186.6976164818,0.6963131209,0.71773814,779.6019545883,NaN,NaN,NaN,779.6019545883,1,628.1971830986,4,0,40346.9234979558,-100,2.3123500426
1,7,9,Psi,-0.7071067812,0.7071067812,302.3987433836,1.0479586789,257.9554225055,0.1744487461,0.9846662556,627.9928936087,NaN,NaN,NaN,627.9928936087,1,650.0545454545,2,0,40346.9234979558,-100,15.0436094051
1,8,1,Psi,-0.1643989873,0.9863939238,272.635287518,1.2304864187,217.2233873228,0.142710232,0.9897645122,517.1351964626,9.2681760838,9.8287344542,5.3825255433,0,0,621.2127659574,2,0,40346.9234979558,-100,25.5016785397
1,8,2,Pound,0.7071067812,0.7071067812,278.6000717875,0.928013093,172.2614292289,0.539877095,0.8417438579,707.619340917,NaN,NaN,NaN,707.619340917,1,573.75,4,0,40346.9234979558,-100,8.1712335618
1,8,3,Line,0.4472135955,-0.894427191,282.1790211904,0.5191461142,277.346353861,0.8653439883,-0.5011783932,293.1428758972,NaN,NaN,NaN,0,0,632.8636363636,1,0,40346.9234979558,-100,15.2551187057
1,8,4,Pound,0,-1,298.4241947296,0.6307672127,164.2102311063,0.8403861262,0.5419881538,893.9772307448,NaN,NaN,NaN,893.9772307448,1,649.5471698113,4,0,40346.9234979558,-100,8.8597008571
1,8,4,Pound,0.316227766,-0.9486832981,251.0179276466,0.9153435959,156.7226850204,0.5678820522,0.8231099409,621.3154064131,-2.8198420992,16.7810078064,14.1529714026,621.3154064131,1,673.6349206349,4,0,40346.9234979558,-100,7.4453248494
1,8,4,Pound,0.9486832981,-0.316227766,241.867732449,0.7678561033,165.2392205259,0.7867381581,0.6172868625,669.8674726766,-0.3217505544,17.8061755698,16.4203918399,669.8674726766,1,643.7714285714,4,0,40346.9234979558,-100,1.0050860075
1,8,5,Pound,0.7071067812,-0.7071067812,256.4624728883,0.8820489924,142.1724305201,0.6893038238,0.7244723863,689.8583949997,NaN,NaN,NaN,689.8583949997,1,641.4545454545,4,0,40346.9234979558,-100,5.5376845883
1,8,6,Infinity,-0.4190581775,0.9079593845,228.6591349586,0.6207578743,3.1622776602,0.316227766,0.9486832981,593.0482738688,0.4324077756,11.618075935,4.4272812634,0,0,727.5409836066,1,0,40346.9234979558,-100,9.4331937031
1,8,7,Psi,0.1240347346,0.9922778767,247.1942555967,1.0074800653,38.0131556175,0.894427191,0.4472135955,540.3226149976,8.8367753572,12.4097083901,7.4314132252,540.3226149976,1,630.1538461538,2,0,40346.9234979558,-100,12.7243556853
-1,-1,-1,Line,-1.79769313486232E+308,-1.79769313486232E+308,-1.79769313486232E+308,-1.79769313486232E+308,-1.79769313486232E+308,-1.79769313486232E+308,-1.79769313486232E+308,-1.79769313486232E+308,-1.79769313486232E+308,-1.79769313486232E+308,-1.79769313486232E+308,-1.79769313486232E+308,0,-1.79769313486232E+308,-1,0,40346.9234979558,-100,#NUM!
1,8,8,Line,-0.1961161351,0.9805806757,239.0690276887,0.3191050579,234.6167086974,0.9632732522,-0.2685230747,249.8651974234,2.55359005,2.9450320909,1.549317878,0,0,634.7894736842,1,0,40346.9234979558,-100,26.7166269611
1,8,9,Psi,0,1,245.5463296407,1.0925778001,221.0271476539,0.1900219066,0.9817798506,538.7487275248,9.4247779608,10.9820344132,8.6904984104,0,0,673.8,2,0,40346.9234979558,-100,17.6000967354
